id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,data mining,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,excel,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,sap,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,sas,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,spss,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,sql,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,statistics,data analyst
1,Data Analyst - Logistics,Coventry,United Kingdom,Resolute Recruitment,,,2023-05-16,,On-site,,data analyst
2,Data Analyst - Logistics,Coventry,United Kingdom,Resolute Recruitment,,,2023-05-16,,On-site,wfh,data analyst
3,Data Analyst (Space & Planning),South Molton,United Kingdom,Mole Valley Farmers,,,2023-05-16,,On-site,excel,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,aws,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,data warehouse,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,etl,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,gcp,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,oracle,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,oracle data integrator,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,power bi,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,python,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,sql,data analyst
5,Data Analyst - Logistics,Southampton,United Kingdom,"Butler, Bridge & May",,,2023-05-17,,On-site,excel,data analyst
5,Data Analyst - Logistics,Southampton,United Kingdom,"Butler, Bridge & May",,,2023-05-17,,On-site,powerbi,data analyst
5,Data Analyst - Logistics,Southampton,United Kingdom,"Butler, Bridge & May",,,2023-05-17,,On-site,sap,data analyst
6,Data Analyst,Leeds,United Kingdom,Maria Mallaband Care Group Ltd,,,2023-05-02,,On-site,excel,data analyst
6,Data Analyst,Leeds,United Kingdom,Maria Mallaband Care Group Ltd,,,2023-05-02,,On-site,power bi,data analyst
7,Data Analyst,Nuneaton,United Kingdom,Kelly Group,,,2023-05-21,,Hybrid,data mining,data analyst
7,Data Analyst,Nuneaton,United Kingdom,Kelly Group,,,2023-05-21,,Hybrid,excel,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,dataiku,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,nosql,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,powerbi,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,qlikview,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,sql,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,tableau,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,анализ данных,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,визуализация данных,data analyst
9,Data Analyst - Hybrid Working,Cambridge,United Kingdom,Blue Arrow,,,2023-05-09,,On-site,,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,sql,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,ms excel,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,tableau,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,power bi,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,scala,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,sql,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,панель управления,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,анализ данных,data analyst
12,Asset Data Analyst,Chester,United Kingdom,networx | Recruitment Software & Services by IRIS,,,2023-05-16,,On-site,,data analyst
13,Data Analyst - Hybrid,Cambridge,United Kingdom,Blue Arrow,,,2023-05-09,,On-site,,data analyst
