,target
0,0.32
1,0.38666666666666666
2,0.1590909090909091
3,0.4375
4,0.043478260869565216
5,0.02197802197802198
6,0.18181818181818182
7,0.06779661016949153
8,0.5
9,0.14814814814814814
10,0.4
11,0.6
12,0.2222222222222222
13,0.41935483870967744
14,0.5161290322580645
15,0.14285714285714285
16,0.2692307692307692
17,0.7
18,0.15625
19,0.5217391304347826
20,0.2375
21,0.4111111111111111
22,0.09090909090909091
23,0.48
24,0.23214285714285715
25,0.3793103448275862
26,0.6470588235294118
27,0.20408163265306123
28,0.3333333333333333
29,0.7
30,0.75
31,0.2549019607843137
32,0.10526315789473684
33,0.21428571428571427
34,0.25
35,0.3958333333333333
36,0.3333333333333333
37,0.42424242424242425
38,0.25
39,0.16666666666666666
40,0.40476190476190477
41,0.5
42,0.11764705882352941
43,0.4
44,0.30434782608695654
45,0.10810810810810811
46,0.5405405405405406
47,0.15517241379310345
48,0.24
49,0.4418604651162791
50,0.19298245614035087
51,0.3142857142857143
52,0.17391304347826086
53,0.3424657534246575
54,0.375
55,0.39285714285714285
56,0.16176470588235295
57,0.18181818181818182
58,0.35294117647058826
59,0.45454545454545453
60,0.5
61,0.6511627906976745
62,0.3888888888888889
63,0.5
64,0.1
65,0.3424657534246575
66,0.3137254901960784
67,0.6333333333333333
68,0.18309859154929578
69,0.20930232558139536
70,0.1794871794871795
71,0.08333333333333333
72,0.7272727272727273
73,0.5
74,0.23076923076923078
75,0.07692307692307693
76,0.23902439024390243
77,0.12371134020618557
78,0.10256410256410256
79,0.4127906976744186
80,0.5217391304347826
81,0.25
82,0.3103448275862069
83,0.6296296296296297
84,0.3333333333333333
85,0.5172413793103449
86,0.08823529411764706
87,0.14893617021276595
88,0.5
89,0.4838709677419355
90,0.16129032258064516
91,0.5
92,0.060240963855421686
93,0.6216216216216216
94,0.2608695652173913
95,0.03333333333333333
96,0.3333333333333333
97,0.75
98,0.631578947368421
99,0.07407407407407407
100,0.3125
101,0.7272727272727273
102,0.14893617021276595
103,0.22857142857142856
104,0.21621621621621623
105,0.2631578947368421
106,0.1111111111111111
107,0.5
